Job Titles_En,Turkce_Meslek
Maintenance Manager,Bakım Müdürü
Maintenance Mechanic,Bakım Mekanikçisi
Maintenance Officer,Bakım Görevlisi
Maintenance Person,Bakım Personeli
Maintenance Planner,Bakım Planlamacısı
Maintenance Specialist,Bakım Uzmanı
Maintenance Superintendent,Bakım Şefi
Maintenance Supervisor,Bakım Amiri
Maintenance Team Leader,Bakım Ekip Lideri
Maintenance Technician,Bakım Teknikeri
Major Account Manager,Büyük Müşteri Müdürü
Major Gifts Officer,Büyük Bağış Görevlisi
Makeup Artist,Makyaj Sanatçısı
Mall Leasing Executive,Alışveriş Merkezi Kiralama Yöneticisi
Mall Manager,Alışveriş Merkezi Müdürü
Malware Analyst,Kötü Amaçlı Yazılım Analisti
Management,Yönetim
Management Accountant,Yönetim Muhasebecisi
Management Administrator,Yönetim Yöneticisi
Management Adviser,Yönetim Danışmanı
Management Analyst,Yönetim Analisti
Management Assistant,Yönetim Asistanı
Management Associate,Yönetim Yardımcısı
Management Consultant,Yönetim Danışmanı
Management Coordinator,Yönetim Koordinatörü
Management Director,Yönetim Direktörü
Management Engineer,Yönetim Mühendisi
Executive Manager,İcra Müdürü
Management Information Executive,Yönetim Bilgi Yöneticisi
Management Information System Assistant,Yönetim Bilgi Sistemleri Asistanı
Management Information System Executive,Yönetim Bilgi Sistemleri Yöneticisi
Management Information Systems Manager,Yönetim Bilgi Sistemleri Müdürü
Management Information Systems Officer,Yönetim Bilgi Sistemleri Görevlisi
Management Lead,Yönetim Lideri
Management Lecturer,Yönetim Öğretim Görevlisi
Management Officer,Yönetim Görevlisi
Management Specialist,Yönetim Uzmanı
Management Staff,Yönetim Personeli
Management Systems Auditor,Yönetim Sistemleri Denetçisi
Management Systems Specialist,Yönetim Sistemleri Uzmanı
Management Team,Yönetim Ekibi
Management Team Leader,Yönetim Ekip Lideri
Management Team Member,Yönetim Ekip Üyesi
Management Trainee,Yönetim Stajyer
Manager,Müdür
Manager Accounts,Muhasebe Müdürü
Manager Civil,İnşaat Müdürü
Manager Knowledge Management,Bilgi Yönetimi Müdürü
Manager Real Estate,Gayrimenkul Müdürü
Manager Strategic Planning,Stratejik Planlama Müdürü
Manager Student Services,Öğrenci Hizmetleri Müdürü
Manager of Events,Etkinlik Müdürü
Manager of Operations,Operasyon Müdürü
Manager of Products,Ürün Müdürü
Manager of Purchasing,Satın Alma Müdürü
Manager on Duty,Nöbetçi Müdür
Managing Consultant,Yönetici Danışman
Managing Director,Yönetici Direktör
Managing Editor,Yönetici Editör
Owner Manager,Sahibi Yönetici
Managing Partner,Yönetici Ortak
Mandarin Teacher,Mandarin Öğretmeni
Mandarin Translator,Mandarin Tercümanı
Manual Tester,Manuel Test Uzmanı
Manufacturer,Üretici
Manufacturing Assistant,Üretim Asistanı
Manufacturing Engineer,Üretim Mühendisi
Manufacturing Engineering Manager,Üretim Mühendisliği Müdürü
Manufacturing Executive,Üretim Yöneticisi
Manufacturing Manager,Üretim Müdürü
Manufacturing Process Engineer,Üretim Süreç Mühendisi
Manufacturing Specialist,Üretim Uzmanı
Manufacturing Supervisor,Üretim Süpervizörü
Manufacturing Technician,Üretim Teknisyeni
Marcom Executive,Pazarlama ve İletişim Yöneticisi
Marcom Manager,Pazarlama ve İletişim Müdürü
Marine,
Marine Biologist,Deniz Biyoloğu
Marine Engineer,Deniz Mühendisi
Marine Structures Engineer,Deniz Yapıları Mühendisi
Marine Superintendent,Deniz Süperintendantı
Maritime Engineer,Denizcilik Mühendisi
Market Development Executive,Pazar Geliştirme Yöneticisi
Market Execution Executive,Pazar Uygulama Yöneticisi
Market Intelligence Manager,Pazar İstihbarat Müdürü
Market Intelligence Specialist,Pazar İstihbarat Uzmanı
Market Manager,Pazar Müdürü
Market Research Analyst,Pazar Araştırma Analisti
Market Research Specialist,Pazar Araştırma Uzmanı
Market Researcher,Pazar Araştırmacısı
Market Risk Analyst,Piyasa Risk Analisti
Market Supervisor,Pazar Süpervizörü
Marketer,Pazarlamacı
Marketing,Pazarlama
Marketing  Sales Consultant,
Marketing Account Manager,Pazarlama Hesap Müdürü
Marketing Administration Assistant,Pazarlama İdari Asistanı
Marketing Administration Staff,Pazarlama İdari Personeli
Marketing Administrator,Pazarlama Yöneticisi
Marketing Analyst,Pazarlama Analisti
Marketing And Communications Executive,Pazarlama ve İletişim Uzmanı
Marketing And Communications Manager,Pazarlama ve İletişim Müdürü
Marketing And Public Relations Specialist,Pazarlama ve Halkla İlişkiler Uzmanı
Marketing And Social Media,
Marketing And Social Media Coordinator,Pazarlama ve Sosyal Medya Koordinatörü
Marketing And Social Media Manager,Pazarlama ve Sosyal Medya Müdürü
Marketing And Social Media Specialist,Pazarlama ve Sosyal Medya Uzmanı
Marketing Assistant,Pazarlama Asistanı
Marketing Associate,Pazarlama Temsilcisi
Marketing Campaign Specialist,Pazarlama Kampanyası Uzmanı
Marketing Campaigns Consultant,Pazarlama Kampanyaları Danışmanı
Marketing Communications Coordinator,Pazarlama İletişimi Koordinatörü
Marketing Communications Executive,Pazarlama İletişim Uzmanı
Marketing Communications Manager,Pazarlama İletişim Müdürü
Marketing Communications Specialist,Pazarlama İletişim Uzmanı
Marketing Consultant,Pazarlama Danışmanı
Marketing Coordinator,Pazarlama Koordinatörü
Marketing Data Analyst,Pazarlama Veri Analisti
Marketing Department Specialist,Pazarlama Bölümü Uzmanı
Marketing Designer,Pazarlama Tasarımcısı
Marketing Director,Pazarlama Direktörü
Marketing Engineer,
Marketing Executive,Pazarlama Uzmanı
Marketing Intern,Pazarlama Stajyer
Marketing Lead,Pazarlama Lideri
Marketing Manager,Pazarlama Müdürü
Marketing Officer,Pazarlama Görevlisi
Marketing Operations Manager,Pazarlama Operasyonları Müdürü
Marketing Positions,Pazarlama Pozisyonları
Marketing Project Manager,Pazarlama Proje Müdürü
Marketing Representative,Pazarlama Temsilcisi
Marketing Specialist,Pazarlama Uzmanı
Marketing Staff,Pazarlama Personeli
Marketing Strategist,Pazarlama Stratejisti
Marketing Supervisor,Pazarlama Süpervizörü
Marketing Support Executive,Pazarlama Destek Uzmanı
Marketing Support Officer,Pazarlama Destek Görevlisi
Marketing Team,Pazarlama Ekibi
Marketing Team Member,Pazarlama Ekip Üyesi
Marketing Trainee,Pazarlama Çalışanı
Marriage And Family Therapist,Evlilik ve Aile Terapisti
Marriage And Family Therapy Intern,Evlilik ve Aile Terapisi Stajyeri
Marshal,
Mary Kay Consultant,Mary Kay Danışmanı
Massage Therapist,Masaj Terapisti
Master,
Master Black Belt,Master Black Belt
Master Data Administrator,Ana Veri Yöneticisi
Master Data Analyst,Ana Veri Analisti
Master Data Specialist,Ana Veri Uzmanı
Master Mariner,Kaptan
Master Of Ceremonies,Sunucu
Master Planner,Baş Planlamacı
Master Sergeant,Astsubay Başçavuş
Material Analyst,Malzeme Analisti
Material Control Engineer,Malzeme Kontrol Mühendisi
Material Control Executive,Malzeme Kontrol Şefi
Material Controller,Malzeme Kontrol Sorumlusu
Material Handler,Malzeme Taşıyıcı
Material Handling,
Material Planning Executive,Malzeme Planlama Şefi
Material Requirements Planner,Malzeme İhtiyaç Planlamacısı
Material Specialist,Malzeme Uzmanı
Materials Coordinator,Malzeme Koordinatörü
Materials Engineer,Malzeme Mühendisi
Materials Officer,Malzeme Memuru
Materials Planner,Malzeme Planlamacısı
Mathematician,Matematikçi
Mathematics And Science Teacher,Matematik ve Fen Bilimleri Öğretmeni
Mathematics Educator,Matematik Eğitmeni
Mathematics Specialist,Matematik Uzmanı
Mathematics Teacher,Matematik Öğretmeni
Mathematics Tutor,Matematik Özel Öğretmeni
Matron,Baş Hemşire
Mayor,Belediye Başkanı
Mba Finance,Finans MBA
Mba Graduate,MBA Mezunu
Mba Internship,MBA Stajı
Meat Cutter,Et Kesimci
Meat Slicer,Et Dilimleyici
Mechanic,Mekanikçi
Mechanic Foreperson,Mekanik Usta
Mechanical  Electrical Engineer,
Mechanical And Electrical Project Engineer,Makine ve Elektrik Proje Mühendisi
Mechanical And Electrical Supervisor,Makine ve Elektrik Denetçisi
Mechanical And Electricalclerk Of Work,
Mechanical Assembly Technician,Mekanik Montaj Teknikeri
Mechanical Design Draftsman,Makine Tasarım Teknik Çizeri
Mechanical Design Engineer,Makine Tasarım Mühendisi
Mechanical Designer,Makine Tasarımcısı
Mechanical Drafter,Makine Teknik Çizeri
Mechanical Electrical And Plumbing Manager,Makine Elektrik ve Sıhhi Tesisat Müdürü
Mechanical Electrical Supervisor,Makine Elektrik Denetçisi
Mechanical Engineer,Makine Mühendisi
Mechanical Engineer in Training,Stajyer Makine Mühendisi
Mechanical Engineering,Makine Mühendisliği
Mechanical Engineering Manager,Makine Mühendisliği Müdürü
Mechanical Estimator,Makine Maliyet Tahmincisi
Mechanical Fitter,Makine Montajcısı
Mechanical Maintenance Engineer,Makine Bakım Mühendisi
Mechanical Maintenance Supervisor,Mekanik Bakım Şefi
Mechanical Maintenance Technician,Mekanik Bakım Teknisyeni
Mechanical Manager,Mekanik İşletme Müdürü
Mechanical Project Engineer,Mekanik Proje Mühendisi
Mechanical Project Manager,Mekanik Proje Yöneticisi
Mechanical Role,
Mechanical Sales Engineer,Mekanik Satış Mühendisi
Mechanical Service Technician,Mekanik Servis Teknisyeni
Mechanical Specialist,Mekanik Uzman
Mechanical Staff,Mekanik Personel
Mechanical Superintendent,Mekanik İşletme Amiri
Mechanical Supervisor,Mekanik Denetçi
Mechanical Technician,Mekanik Teknisyen
Mechatronics Engineer,Mekatronik Mühendisi
Mechatronics Technician,Mekatronik Teknisyeni
Media Account Manager,Medya Hesap Yöneticisi
Media Buyer,Medya Satın Alma Uzmanı
Media Buying Executive,Medya Satın Alma Yöneticisi
Media Designer,Medya Tasarımcısı
Media Executive,Medya Yöneticisi
Media Manager,Medya Müdürü
Media Sales Executive,Medya Satış Yöneticisi
Media Sales Manager,Medya Satış Müdürü
Media Specialist,Medya Uzmanı
Media Strategist,Medya Stratejisti
Mediator,Arabulucu
Medical Accountant,Tıbbi Muhasebeci
Medical Advisor,Tıbbi Danışman
Medical Aesthetician,Tıbbi Estetik Uzmanı
Medical Affairs,Tıbbi İşler
Medical Affairs Executive,Tıbbi İşler Yöneticisi
Medical Affairs Manager,Tıbbi İşler Müdürü
Medical Assistant,Tıbbi Asistan
Medical Associate,Tıbbi Ortak
Medical Biller,Tıbbi Faturalandırma Uzmanı
Medical Claim Assessor,Tıbbi Talep Değerlendiricisi
Medical Claims Analyst,Tıbbi Talep Analisti
Medical Claims Executive,Tıbbi Talep Yöneticisi
Medical Coder,Tıbbi Kodlayıcı
Medical Device Representative,Tıbbi Cihaz Temsilcisi
Medical Device Sales Representative,Tıbbi Cihaz Satış Temsilcisi
Medical Device Specialist,Tıbbi Cihaz Uzmanı
Medical Director,Tıbbi Direktör
Medical Doctor,Tıp Doktoru
Medical Epidemiologist,Tıbbi Epidemiyolog
Medical Executive,Tıbbi Yönetici
Medical Illustrator,Tıbbi İllüstratör
Medical Intern,Tıp Stajyeri
Medical Laboratory Scientist,Tıbbi Laboratuvar Bilimcisi
Medical Laboratory Technician,Tıbbi Laboratuvar Teknisyeni
Medical Laboratory Technologist,Tıbbi Laboratuvar Teknoloğu
Medical Nurse,Hemşire
Medical Officer,Tıbbi Görevli
Medical Receptionist,Resepsiyonist
Medical Record Assistant,Tıbbi Kayıt Asistanı
Medical Records Consultant,Tıbbi Kayıt Danışmanı
Medical Records Technician,Tıbbi Kayıt Teknisyeni
Medical Representative,İlaç Temsilcisi
Medical Resident,Asistan Doktor
Medical Risk Adjuster,
Medical Sales Executive,Sağlık Satış Yöneticisi
Medical Sales Manager,Sağlık Satış Müdürü
Medical Sales Representative,Sağlık Satış Temsilcisi
Medical Sales Role,
Medical Sales Specialist,Sağlık Satış Uzmanı
Medical Secretary,Tıbbi Sekreter
Medical Specialist,Uzman Doktor
Medical Surgical Licensed Practical Nurse,Lisanslı Uygulamalı Cerrahi Hemşire
Medical Surgical Nurse,Cerrahi Hemşire
Medical Transcriptionist,Tıbbi Transkripsiyoncu
Medical Typist,Tıbbi Daktilograf
Medical Underwriter,Sağlık Sigortacı
Medical Writer,Tıbbi Yazar
Member,Üye
Member Board of Directors,Yönetim Kurulu Üyesi
Member Board of Trustees,Mütevelli Heyeti Üyesi
Member Services Specialist,Üye Hizmetleri Uzmanı
Member of Consulting Staff,Danışmanlık Personeli Üyesi
Member of Technical Staff,Teknik Personel Üyesi
Member of The Supervisory Board,Denetleme Kurulu Üyesi
Member of the Board of Advisors,Danışma Kurulu Üyesi
Member of the Management Board,Yönetim Kurulu Üyesi
Membership Coordinator,Üyelik Koordinatörü
Membership Executive,Üyelik Yöneticisi
Membership Service Coordinator,Üyelik Hizmetleri Koordinatörü
Mental Health Counselor,Ruh Sağlığı Danışmanı
Mental Health Skill Builder,
